agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,source
Human,2283893488,15043,https://github.com/getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript/pull/15043,https://github.com/getsentry/sentry-javascript/issues/15041,15041,body
Human,2493138598,10456,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm/pull/10456,https://github.com/BerriAI/litellm/issues/0,0,body
Human,2525424596,10903,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm/pull/10903,https://github.com/BerriAI/litellm/issues/0,0,body
Human,2377848136,9046,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm/pull/9046,https://github.com/BerriAI/litellm/issues/0,0,body
Human,2381676482,9097,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm/pull/9097,https://github.com/BerriAI/litellm/issues/0,0,body
Human,2260808914,16173,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16173,https://github.com/oven-sh/bun/issues/10049,10049,body
Human,2260808914,16173,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16173,https://github.com/oven-sh/bun/issues/9569,9569,body
Human,2576997128,20267,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/20267,https://github.com/oven-sh/bun/issues/17557,17557,body
Human,2324586321,17207,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17207,https://github.com/oven-sh/bun/issues/7208,7208,body
Human,2497482463,19467,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/19467,https://github.com/oven-sh/bun/issues/17000,17000,body
Human,2256824367,16093,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16093,https://github.com/oven-sh/bun/issues/15948,15948,body
Human,2301234632,16824,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16824,https://github.com/oven-sh/bun/issues/14934,14934,body
Human,2425248848,18585,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/18585,https://github.com/oven-sh/bun/issues/9218,9218,body
Human,2310395633,16955,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16955,https://github.com/oven-sh/bun/issues/16335,16335,body
Human,2404576547,18305,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/18305,https://github.com/oven-sh/bun/issues/18288,18288,body
Human,2272544172,16351,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16351,https://github.com/oven-sh/bun/issues/14223,14223,body
Human,2489635620,19370,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/19370,https://github.com/oven-sh/bun/issues/19319,19319,body
Human,2589100605,20366,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/20366,https://github.com/oven-sh/bun/issues/20352,20352,body
Human,2285323042,16489,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16489,https://github.com/oven-sh/bun/issues/16470,16470,body
Human,2285323042,16489,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/16489,https://github.com/oven-sh/bun/issues/16932,16932,body
Human,2377439525,17954,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17954,https://github.com/oven-sh/bun/issues/17633,17633,body
Human,2377439525,17954,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17954,https://github.com/oven-sh/bun/issues/17863,17863,body
Human,2377439525,17954,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17954,https://github.com/oven-sh/bun/issues/17965,17965,body
Human,2377439525,17954,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17954,https://github.com/oven-sh/bun/issues/17900,17900,body
Human,2399669336,18270,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/18270,https://github.com/oven-sh/bun/issues/18259,18259,body
Human,2327736958,17251,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17251,https://github.com/oven-sh/bun/issues/12209,12209,body
Human,2327736958,17251,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17251,https://github.com/oven-sh/bun/issues/8381,8381,body
Human,2327736958,17251,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/17251,https://github.com/oven-sh/bun/issues/17236,17236,body
Human,2595735918,5037,https://github.com/keephq/keep,https://github.com/keephq/keep/pull/5037,https://github.com/keephq/keep/issues/5033,5033,body
Human,2415977644,4207,https://github.com/keephq/keep,https://github.com/keephq/keep/pull/4207,https://github.com/keephq/keep/issues/4204,4204,body
Human,2355823480,3665,https://github.com/keephq/keep,https://github.com/keephq/keep/pull/3665,https://github.com/keephq/keep/issues/3666,3666,body
