agent,id,title,reason,type
Human,2438086945,:bug: fix: update how we fetch workflow_id and legacy_rule_id from ru…,"The PR title and description indicate a correction in how certain IDs are fetched, which is a bug fix.",fix
Human,2336888723,feat(aci): add automations index page,"The title indicates the addition of a new feature, specifically an automations index page, which aligns with the 'feat' type.",feat
Human,2564963212,feat(insights): update ux for open in explore and create alert,"The PR introduces updated user experience (UX) for existing features, which constitutes a new feature enhancement.",feat
Human,2474210990,feat(compare): Add timestamp column to sample mode,"The PR introduces a new feature by adding a timestamp column to sample mode and making it the default sort, which enhances functionality.",feat
Human,2486573779,ref(perf-issues): Consolidate File IO override option,"The PR improves the performance issue detection by removing redundant override options and deferring issue creation decisions to the Issue Platform, which optimizes the detection process without adding new features or fixing bugs.",perf
Human,2447123365,ref(insights): Make use of `<FeatureBadge>` for new Insight page tabs,"The change involves refactoring the code to use a premade component for UI consistency and reducing imports, without adding new features or fixing bugs.",refactor
Human,2404610772,feat(tsc): Replace SessionsRequest w/ useSessionsRequest hook in `<ReleaseOverview>`,"The title clearly indicates the addition of a new feature by replacing a component with a hook, which aligns with the 'feat' type.",feat
Human,2265431531,fix(org-stats): Require project membership,"The change fixes the issue where the organization stats page could be in an inconsistent or broken state when the user is not a member of any project, by requiring project membership and displaying a message instead of failing requests.",fix
Human,2354374131,ref(crons): Remove time restriction on uptime issues,"The change removes a time restriction filter from a cron job related to uptime issues, which is a modification to existing functionality but does not add a new feature or fix a bug. It is a refactor to simplify the logic by removing unnecessary filtering.",refactor
Human,2342137052,feat(laravel-insights): Placeholder page,"The PR introduces a new placeholder page feature for Laravel insights, which is a new functionality behind a feature flag.",feat
Human,2419106029,ref(span-buffer): Move from sets to arrays,"The change involves modifying the data structure used in the code (from sets to arrays) to potentially improve performance, without adding new features or fixing bugs.",perf
Human,2461167707,feat(explore): Highlights the save button when a change is made on a saved query,"The PR introduces a new feature that highlights the save button when changes are made to a saved query, enhancing user interaction.",feat
Human,2291035708,deps(ui): Upgrade webpack-dev-server to v5.2.0,"The change involves upgrading a dependency to address a security warning, which affects the build system or external dependencies.",build
Human,2565399631,fix(billing): Update calculateCategoryPrepaidUsage to consider reservedSpend,"The PR fixes a bug where the spend usage chart did not consider reserved spend usage, correcting the calculation in the billing logic.",fix
Human,2332333882,ref(consumers): Rename parallel -> batched-parallel,"The change involves renaming a feature for clarity without adding new functionality or fixing a bug, which is a refactor to improve code readability and maintainability.",refactor
Human,2622011651,fix(dev): mktemp: too few X's in template,"The change fixes a bug in the mktemp template by ensuring it has the required number of X's for compatibility, preventing errors.",fix
Human,2374801945,fix: copy updates to checkout page,"The commit title indicates a fix to the copy on the checkout page, which is a bug fix related to text content.",fix
Human,2310085567,chore(issues): Update stronger typing list with more issues modules,"The commit updates the typing list related to issues modules, which is a maintenance task and does not add features or fix bugs, fitting the 'chore' category.",chore
Human,2613746056,fix: Error: Cannot find module './config',The commit message explicitly states 'fix' and describes a bug fix related to a missing module error.,fix
Human,2397521401,ref(span-buffer): Add old segment ID value to span data,"The change introduces an addition to the span data by including the old segment ID value, which enhances the existing functionality without fixing a bug or purely refactoring code.",feat
Human,2449529010,chore(autofix): add notice if no repos selected,"The change adds a user interface notice and modifies behavior related to notifications, which is an improvement or adjustment to the existing functionality but does not introduce a new feature or fix a bug. It is best categorized as a chore since it involves maintenance and minor improvements to the user experience without changing core functionality.",chore
Human,2608720829,fix: mcp not able to write stderrs,"The title indicates a bug fix related to the MCP not being able to write to stderr, which is a clear bug fix.",fix
Human,2536644442,feat: add Node.js and Python bindings,"The PR introduces new features by adding Node.js and Python bindings, along with usage instructions and CI workflows for these new features.",feat
Human,2556638049,feat: Add UI element screenshot capture with multi-monitor support,The PR introduces a new feature that allows capturing screenshots of UI elements with support for multi-monitor setups and display scaling.,feat
Human,2563038011,fix: reorder selector match patterns to prioritize specific over generic,"The commit message explicitly uses 'fix' and describes a change that corrects the order of selector match patterns, which implies a bug fix to ensure correct prioritization.",fix
Human,2555349840,fix: build :(,"The title explicitly uses 'fix' and describes a broken build, indicating a bug fix related to the build process.",fix
Human,2579613775,one liner mcp setup for windows,"The title and body suggest adding a new setup process for Windows, which indicates a new feature rather than a fix or other change types.",feat
Human,2511401891,Add mouse drag and  mspaint.py,"The PR introduces a new feature by adding mouse drag functionality and a new file mspaint.py, which implies new capabilities rather than fixes or documentation changes.",feat
Human,2535114622,Remove extract api section,"The commit removes documentation files and comments out navigation entries related to the Boundary Extraction API, which is a documentation-only change without affecting code functionality.",docs
Human,2321189660,chore: move python integ tests to uv,"The changes involve updating the testing setup and scripts, removing old workflows, and updating documentation related to the testing process, which are maintenance tasks rather than new features or bug fixes. This fits best under 'chore'.",chore
Human,2283893488,feat(browser): Add `multiplexedtransport.js` CDN bundle,"The PR introduces a new CDN bundle feature for the multiplexed transport API, which is a new capability added to the project.",feat
Human,2335781477,build: Use hash instead of branch in GHCR tag,"The change affects the build process by modifying the tagging strategy for GitHub Container Registry (GHCR) images, which is related to the build system.",build
Human,2280085971,Bump version 0.72.1,"The commit is about bumping the version number for a patch release, which is a chore related to the build process and release management, not adding features or fixing bugs.",chore
Human,2258009014,feat: Avoid class fields all-together,"The PR introduces a new feature by removing exceptions for class fields and handling them differently to reduce bundle size and polyfill requirements, which is a functional improvement.",feat
Human,2561235138,feat(deps): Bump @opentelemetry/instrumentation-aws-sdk from 0.49.1 to 0.53.0,"The PR updates a dependency version, which is considered a new feature or enhancement to the project dependencies, thus it is classified as a 'feat'.",feat
Human,2502585728,make vertex types optional since they sometimes go missing,"The changes involve making fields optional in data structures and updating dependencies, which is a modification to the codebase that neither fixes a bug nor adds a new feature. This fits the definition of a refactor.",refactor
Human,2425265175,deps: Bump bundler plugins to version `3.2.4`,"The commit updates dependencies, specifically bundler plugins, which affects the build system or external dependencies.",build
Human,2413604483,feat: Stop using `dropUndefinedKeys`,"The PR introduces a new feature by removing the usage of `dropUndefinedKeys` and deprecating its export, which is a change in functionality and API behavior.",feat
Human,2304890620,test(v8): Fix nextjs build warning,"The title indicates that the change is related to fixing a warning during the build process, which is a bug fix. The 'test' scope here refers to the area affected, not the type of change. Therefore, the appropriate label is 'fix'.",fix
Human,2458036182,build(deps): Bump @nestjs/common from 10.4.6 to 11.0.16 in /dev-packages/node-integration-tests,"The PR updates a dependency version in the build system, which is a change affecting external dependencies and the build process, without adding features or fixing bugs in the source code itself.",build
Human,2522138250,chore(dashboard): make hovers in dark mode more readable,"The changes improve the styling of tooltips to enhance readability in dark mode, which is a non-functional change related to the appearance and does not affect the code logic or features.",style
Human,2623753154,chore: skip s3 LIST for projects configured in env,"The commit introduces a new environment variable and modifies ingestion logic to optionally skip an S3 list operation for certain projects, which adds a new configurable feature to the system.",feat
Human,2501295276,feat: custom auth markdown property,"The title indicates the addition of a new feature related to a custom auth markdown property, which aligns with the 'feat' type. The body references a fix but the primary change described is a feature addition.",feat
