pr_id,id,user,state,submitted_at,body
2360935353,1972607018,Copilot,,,"Consider logging the exception (for example, with LogWarning) in this catch block before constructing the error HealthReport. This will provide additional debugging context in production without impacting the user experience."
2348525274,1968976062,surgupta-msft,,,curious if there is a specific reason for making it a `sealed` class?
2348525274,1970229313,kshyju,,,Sealed classes provide a slight performance benefit.  Any new classes we write should be sealed unless there is a need for a derived class. a sealed class can be unsealed when/if needed in the future.
2348525274,1970310738,surgupta-msft,,,"awesome, that's great to know."
2348525274,1972045393,jviau,,,Any reason you are using `OnChange` hooks and not just accessing `.CurrentValue.EnableResponseCompression` in here?
2348525274,1972261722,kshyju,,,Was trying to use same pattern used for other options above. I pushed an iteration in which I switched to using CurrentValue instead of onchange and local variable (only updated the new code to use this pattern)
2616153484,2164946923,manzt,,,"nit: Vite automatically exposes `VITE_`-prefixed [env vars](https://vite.dev/guide/env-and-mode.html#env-variables) to `import.meta.env` as strings, so there's no need to manually inject `VITE_MARIMO_ISLANDS` via `define` config. 

Using `define` with `JSON.stringify(bool)` changes this behavior by inlining a boolean intead of a string, which can break type expectations (I believe TypeScript assumes `import.meta.env.VITE_*` values are string). 

We should update `isIslands()` from:

```ts
export function isIslands() {
  return import.meta.env.VITE_MARIMO_ISLANDS === true;
}
```

to:

```ts
export function isIslands() {
  return import.meta.env.VITE_MARIMO_ISLANDS === ""true"";
}
```"
2616153484,2164968349,dmadisetti,,,Oh nice. Thank you
2444446055,2032086341,Copilot,,,"The glob pattern '**Directory.Packages.props' may not match the intended files if they are located in subdirectories. Consider using '**/Directory.Packages.props' to more reliably target all required files.
```suggestion
          git add **/Directory.Packages.props
```"
2562671595,2122829906,wintonzheng,,,doctoc should have been removed. how did you generate this doc content table?
2562671595,2122831609,wintonzheng,,,can we rename it to `skyvern workflow run`? all of our interfaces have been using `run`
2562671595,2122831987,wintonzheng,,,"similarly, let's rename this to `skyvern workflow cancel`"
2562671595,2122832591,wintonzheng,,,see the api docs: https://docs.skyvern.com/api-reference/api-reference/workflows/run-workflow
2562671595,2131373856,Prakashmaheshwaran,,,Claude code from my terminal
2562671595,2131375056,Prakashmaheshwaran,,,yep done
2562671595,2131375223,Prakashmaheshwaran,,,yep done
2562671595,2131403895,suchintan,,,I don't think this is the right place for these docs. Can you move these to `fern/` instead so it shows up on docs.skyvern.com?
2562671595,2153563223,suchintan,,,"This needs to go into docs.skyvern.com. Did you test it with fern?  

https://buildwithfern.com/learn/docs/getting-started/quickstart"
2397977071,1998783934,ellipsis-dev[bot],,,Consider using native `<a>` tags for external links instead of `react-router-dom`'s `Link` to avoid potential routing issues for external URLs.
