agent,pr_id,pr_number,repo_url,pr_url
Copilot,3103623751,38633,https://github.com/github/docs,https://github.com/github/docs/pull/38633
Copilot,3094093175,5217,https://github.com/Azure/azure-cosmos-dotnet-v3,https://github.com/Azure/azure-cosmos-dotnet-v3/pull/5217
Copilot,3094743282,41310,https://github.com/Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python/pull/41310
Copilot,3144807312,522,https://github.com/microsoft/vscode-data-wrangler,https://github.com/microsoft/vscode-data-wrangler/pull/522
Copilot,3160718406,14300,https://github.com/MicrosoftDocs/azure-devops-docs,https://github.com/MicrosoftDocs/azure-devops-docs/pull/14300
Copilot,3161708496,2657,https://github.com/App-vNext/Polly,https://github.com/App-vNext/Polly/pull/2657
Copilot,3157225263,251818,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode/pull/251818
Copilot,3106827361,3399,https://github.com/tokens-studio/figma-plugin,https://github.com/tokens-studio/figma-plugin/pull/3399
Copilot,3082132239,13859,https://github.com/microsoft/azurelinux,https://github.com/microsoft/azurelinux/pull/13859
Copilot,3135925426,9820,https://github.com/dotnet/aspire,https://github.com/dotnet/aspire/pull/9820
Copilot,3106490593,1999,https://github.com/Azure/Enterprise-Scale,https://github.com/Azure/Enterprise-Scale/pull/1999
Copilot,3164312582,49,https://github.com/ben-sb/obfuscator-io-deobfuscator,https://github.com/ben-sb/obfuscator-io-deobfuscator/pull/49
Copilot,3147444643,5373,https://github.com/remotion-dev/remotion,https://github.com/remotion-dev/remotion/pull/5373
Copilot,3147452930,5374,https://github.com/remotion-dev/remotion,https://github.com/remotion-dev/remotion/pull/5374
Copilot,3147503921,5375,https://github.com/remotion-dev/remotion,https://github.com/remotion-dev/remotion/pull/5375
Copilot,3147552131,5376,https://github.com/remotion-dev/remotion,https://github.com/remotion-dev/remotion/pull/5376
Copilot,3161179390,4052,https://github.com/microsoft/BotBuilder-Samples,https://github.com/microsoft/BotBuilder-Samples/pull/4052
Copilot,3161229907,1254,https://github.com/DonDebonair/slack-machine,https://github.com/DonDebonair/slack-machine/pull/1254
Copilot,3161253730,50731,https://github.com/Azure/azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net/pull/50731
Copilot,3081821271,4101,https://github.com/navidrome/navidrome,https://github.com/navidrome/navidrome/pull/4101
Copilot,3081992708,4102,https://github.com/navidrome/navidrome,https://github.com/navidrome/navidrome/pull/4102
Copilot,3082038772,13855,https://github.com/microsoft/azurelinux,https://github.com/microsoft/azurelinux/pull/13855
Copilot,3125530261,24974,https://github.com/microsoft/onnxruntime,https://github.com/microsoft/onnxruntime/pull/24974
Copilot,3123449966,146,https://github.com/unbug/codelf,https://github.com/unbug/codelf/pull/146
