pr_id,sha,author,committer,message
3143270588,2366e7b5458e39d99bd8e97c3e629de0ebec636c,cursoragent,cursoragent,feat: Export featureFlagsIntegration and FeatureFlagsIntegration type from @sentry/core
3162618850,4309e0bbb2b61266539a1a8d0269607902e3fa9b,cursoragent,cursoragent,Add asset service 404/500 error analysis documentation
3166296623,c093e96882f8de1975cecb4f6e03e52d4a1bcea9,cursoragent,cursoragent,Add file regex editing UI for custom modes in Modes tab
3133979452,fa97d71a3560e068365473ccd84e9bf8f484ed52,cursoragent,cursoragent,Enhance cold email detection with AI and status tracking
3159821039,92ab621f68384f8fd07d9e74fd9cdad4e4b64464,cursoragent,cursoragent,Add drag and drop tray example with emoji shapes
3159821039,e1445e33543edf76ea809a5e81720d30e7b8ed23,steveruizok,steveruizok,drag and drop
3159821039,a8ecdaa711a5e76b840fb438b16cbb95b005c356,steveruizok,steveruizok,ok
3159821039,d4094cb047c1379d63e3ee3133cf94f9e603f156,steveruizok,steveruizok,drag and drop
3159821039,1d4fefce42b2cfcae960031de12f1ebf58f7b6a6,steveruizok,steveruizok,Update DragAndDropTrayExample.tsx
3159821039,9a83e195e79c28047a25da7b870aab15d18b6556,steveruizok,steveruizok,fix
3153308695,7931723590b199e320aa8ecb0b4258d1862ca156,cursoragent,cursoragent,Add companyId to person data seeds
3153308695,81086ef7c061d15ccfeac883366f2f7484568109,cursoragent,cursoragent,Enhance database setup and environment configuration for Cursor agents
3153308695,66408cc33e2f5ca4fa7894960085a72ff9b97aba,cursoragent,cursoragent,Add note seeds and data generation for comprehensive dev seeding
3153308695,ad1eca34beb921e4644227e39b5283e9d998f8e7,cursoragent,cursoragent,Update person data seed LinkedIn URLs and avatar image numbers
3153308695,f87f59281fa15a838ebd580feb000c1b70304f4a,FelixMalfait,FelixMalfait,Improve seeds
3153308695,493c16514737751cc22f180ad892d60586a6ce67,FelixMalfait,FelixMalfait,Improve seeds
3153308695,238e53607d4551b5b03961dc34e418e649591d21,FelixMalfait,FelixMalfait,Fix?
3153308695,6d0b846dca5bc0efb138435f11ad350faf2b4aec,FelixMalfait,FelixMalfait,Missed one?
3137099861,24a1df4a959145c81bc176487f4d3e2c40af6168,cursoragent,cursoragent,Improve GitHub integration setup check to handle multiple integrations
3152472726,4f0f07b70f0ad806472961fbcc7675c8c9dfaadc,cursoragent,cursoragent,Add top margin to DialogHeader in eval-related modals
3152472726,6dc67c81850bf1cf923d85b94ab2e1a9b28c5711,cursoragent,cursoragent,Add DialogHeader to improve dialog title styling in evaluator forms
3152472726,ab8aa2b3ec2f9020f3d8c01cefa87c02dfd27087,jannikmaierhoefer,web-flow,Merge branch 'main' into cursor/add-margins-to-evaluator-headline-4b05
3139974947,c6aac95affe1a24a64936c7eea6d7cdd40ad0263,cursoragent,cursoragent,Convert tag values to strings in Sentry SDK
3139974947,5c38d51a1a40909939858f779bca22d87bda6efe,cursoragent,cursoragent,Ensure tag values are always converted to strings using safe_str
3139974947,a88dcf6453cf379ff8ca5cf66f3f07b6111c3418,szokeasaurusrex,szokeasaurusrex,clean up Cursor's solution
3139974947,99293c3eff171a5181350b1e76c74a3645114ecf,cursoragent,cursoragent,Convert tag values from int to str in scope and compatibility tests
3139974947,3820946581090b5f7c0328ca4dbba86b12260072,cursoragent,cursoragent,Checkpoint before follow-up message
3139974947,8c31effd6541a6f960e0eb4472e119c405d37af3,cursoragent,cursoragent,Fix request_data tag assertions in integration tests
3139974947,e71ef516820286d0581b06af1c20e15247b67682,cursoragent,cursoragent,Convert boolean tags to strings in Redis and AWS Lambda integrations
3139974947,d35d1b4261144ed0cce12e70e59f50c9698eb1de,szokeasaurusrex,web-flow,Merge branch 'master' into cursor/prepare-pr-for-tag-value-bug-fix-81d2
3139974947,3db95ed9252fef2f54b270ccaa4d720b3fb0a5da,szokeasaurusrex,szokeasaurusrex,reformat tests
3139974947,356cec7408e83906e6133b8d9ca678f84df33d19,szokeasaurusrex,szokeasaurusrex,fix `test_memory_usage`
3139974947,7884a432db43e706b7f149b1277e909acfaebb42,szokeasaurusrex,szokeasaurusrex,fix apidocs
3139974947,dbcd6dd362b20512fc4636cae59de6f953a0e654,szokeasaurusrex,szokeasaurusrex,Only convert to string when serializing
3139974947,16045df6aa7e2afd2fed6eb8373f90c5e26fa343,szokeasaurusrex,szokeasaurusrex,fix tests
3131238821,815e85f78f79abe031b0c15fe21e738f3b6b96e0,cursoragent,cursoragent,Configure Vite to externalize Prisma and OpenTelemetry instrumentation for SSR
3154088521,56e2d4de428b2cb982b8ed0ff42814608779e7b1,cursoragent,cursoragent,Remove release-bubbles-ui feature flag and standardize release interactions
3154088521,b06037762442aa6b08c6e0f1982c5094dc369296,cursoragent,cursoragent,Remove release-bubbles-ui feature flag and enable new UI for all users
3154088521,4aa1dfe1e966d3d3728109c3b4a37f39c746826d,billyvg,billyvg,inline objs
3154088521,789a8733bcd4f08aa89a5b244549fecf63f2c7fc,billyvg,billyvg,fix test
3154088521,ca6cd6a2f28d8b078e9370fb43958982c6fa9112,billyvg,billyvg,fix tests
3131760803,4c451cbd45ccfcd912c66854b582d5a65a3719cc,cursoragent,cursoragent,Fix TOML parser to handle inline tables and table arrays correctly
3123127952,9a1e0754ef8e4e930ddc9b6d5e765010402c96de,cursoragent,cursoragent,Fix file stream error handling and EPIPE propagation across multiple components
3140758164,9faf926e90e8eb88f792d148c25d63b63231622a,cursoragent,cursoragent,Upgrade ESLint to v9 and migrate to flat config system
3140758164,f5ea7d9814e24748ce9ffe38414b68871e6bcfa3,cursoragent,cursoragent,Migrate ESLint configs to ESM and update dependencies
3140758164,408d5aa1a27710140041d22b277eb242b54d8e59,geclos,cursoragent,run prettier
3161327793,b236f1c804e085b44ce10878cb71ce336166f52f,cursoragent,cursoragent,Update Kaniko documentation to reflect project archival in 2025
3161327793,1a786b48955ee80be59ecde181c48ab41f2fdffc,strickvl,strickvl,"Merge develop branch into cursor/update-kaniko-project-status-in-docs-d17e

Resolved merge conflict in self-hosted.md by combining both changes:
- Updated Kaniko link to GitHub repository (from develop)
- Kept archival note about Kaniko project (from current branch)

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
3161327793,8c491332a6ae1944381ddb46e98bb56b7e43d835,strickvl,strickvl,"Revert premature Kaniko archival note

The previous commit added a note about Kaniko being archived as of June 2025,
but this is premature since the project is still active. Reverted to the
original documentation state until the archival actually occurs.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
3161287864,d26a2edeac9b5b154289c1267fe0b045039e1d11,cursoragent,cursoragent,Improve 16-bit easing functions with better range handling and symmetry
3161287864,1fc6d8a4e41564ae15c4cea4daa78b9881efd007,zackees,web-flow,Merge branch 'master' into cursor/enable-symmetry-and-fix-functions-bd23
3139420152,6dd4c20b1bef405b317f958305dee914f90216c8,cursoragent,cursoragent,Add batch export support for dataset items
3165205251,a8720931814924ed1ef53cf1f6ddbe6b946bbda6,cursoragent,cursoragent,"Remove changeset requirement from PR template

- Remove the changeset checklist item from PR template as requested
- Contributors no longer need to create changesets for PRs
- Automated changeset workflows remain in place for version management"
3137841799,fc631a425d8a1188dea76dd1af3914974f762f3a,cursoragent,cursoragent,Add debugging instructions to Node integration tests README
3137841799,0d52d87abc532878b363de20d3fc84574358b613,AbhiPrasad,AbhiPrasad,cursor cleanup
3130903286,6880738c418b0e2b1e66d7844a59af5fd1fb4bc0,cursoragent,cursoragent,Update schedule text to reflect twice weekly service frequency
3156267045,b0e4e75486a93c6a64bac0b5e203263ac7209851,cursoragent,cursoragent,Fix NODE_OPTIONS environment variable syntax in Dockerfile
3156267045,912e9bf2fdf278f73dd4954398ff6a22677a3602,cursoragent,cursoragent,Remove NODE_OPTIONS flag from Dockerfile
3158063573,aded4ed0c3ec58221891459e07809daa24d8d2ed,cursoragent,cursoragent,Upgrade Sentry dependencies to version 9.30.0
3140750375,1c06f94849fc3d1dadb825375398d517401dd920,cursoragent,cursoragent,Update API key description based on cloud or self-hosted deployment
3130792767,1aae8045b3c85b367db79ec1b700b08f50e9ac71,cursoragent,cursoragent,Add group expansion feature with collapsible grouped rows
3130792767,2e3c00b6f60f3f43ff82bdfb8807726df74f063a,cursoragent,cursoragent,Add toggle all groups functionality with dynamic button state
3130792767,fb464d46b371a27229644f4389500eaa39e09c44,cursoragent,cursoragent,Improve alert table UI with group toggle button and layout adjustments
3130792767,3ce989809557c45ddcbb21eef8b85fc06bd16137,cursoragent,cursoragent,Refactor alert table UI to centralize group expansion controls in AlertPresetManager
3130792767,d24d09bbc0b90a3c0f58bab6cc3128ee13b370a3,shahargl,shahargl,feat: minor fix
3130792767,f926b59a5fc80badbf2ae02819c149353ab3d41c,cursoragent,cursoragent,Add unit tests for AlertPresetManager and GroupedRow components
3130792767,62e4e6357999fbb069f5ab9c3e7f54eaecc73cd3,cursoragent,cursoragent,Refactor alert table and grouped row tests with improved mocking
3130792767,29f76b1497aa89253c835869cbd21a788a709bda,cursoragent,cursoragent,Improve test setup and mocking for various components and libraries
3132238407,43f12de2702e8e744fd9fcfc313532b5d34dc9a4,cursoragent,cursoragent,Fix Windows long path handling in path conversion functions
3132238407,7063669a95b09c8aa98f7bbd4aa8c591a649e650,cursoragent,cursoragent,Fix Windows path length buffer overflow in UTF-8 to UTF-16 conversion
3132238407,4beb4b60f9f04824b734132ac970b5f4f77ffebc,Jarred-Sumner,github-actions[bot],`bun run prettier`
3117811205,411cb49710d42f6e404cd2b132c3bcbd8c384741,cursoragent,cursoragent,Upgrade dependencies and fix package versions across multiple projects
3117811205,c37049122d9c2114fc3353b3c1452f0dde9e115b,cursoragent,cursoragent,fix(root): update dset package to resolve prototype pollution vulnerability
3117811205,ce3843425b6d6f8574d29f21e5ae053ddeea9741,scopsy,web-flow,Delete SECURITY_FIX_SUMMARY.md
3133978465,4e83a4012f34d0a73b8d3fa7102aab1b2f95ed3a,cursoragent,cursoragent,Add rule history pages for viewing rule changes and versions
3133978465,b0653fe5ffc4ad1b44094ea31d23d330ded5b52a,cursoragent,cursoragent,Refactor rule history page to use EmailAccountProvider and improve loading
3133978465,56520a77d8461f073aec1d56997d658a090d280c,elie222,elie222,debug redirect
3133978465,6d6aa4fe766767a001e0f141e7b602a540d557d7,elie222,elie222,rule history debug page
3165199669,5b61965337d623f807c8d12020e159db56110de2,cursoragent,cursoragent,Add security context to cluster collector deployment pod spec
3165199669,d3ed10981b00a8e5e914cecdb53ea666b844a851,edeNFed,web-flow,Merge branch 'main' into cursor/change-odigos-gateway-pods-to-non-root-23c7
3138534395,d2ff6456ba02b37d74491a6d6fec842cecd57b67,cursoragent,cursoragent,Add Go language parser for source code management integration
3138534395,ea713d77fe14968859d38ac15cfd0adc99ade4ed,cursoragent,cursoragent,Add Go language support for function extraction and PR comment workflows
3138534395,63cbd81a718c989d4b2b5019eb7acec676a88424,iamrajjoshi,iamrajjoshi,:wrench: chore: fix ff
3138534395,c26b80bfa15a21baca05074d95a498e6ee22db11,iamrajjoshi,iamrajjoshi,:bug: fix: update interface pattern
3138534395,2c6b4638644b63d921f3d76b7071be8bcb6fe7c4,iamrajjoshi,iamrajjoshi,:bug: fix: updates from pr feedback
3138534395,e2b5366e186a780e37326731c93fb2ecd5104316,iamrajjoshi,iamrajjoshi,:wrench: chore: remove anon regex
3148367585,25630640ff22e44fbd0029f52feb60b1b99a87b2,cursoragent,cursoragent,Add `bun info` command as alias for `bun pm view`
3148367585,4c6efcfbfc2acf1c1b21c1fd25e4c8abeac6b0d3,Jarred-Sumner,Jarred-Sumner,Small cleanup
3148367585,4926a025cfcda23a31e04f1e4b70ab66d52bee7c,Jarred-Sumner,Jarred-Sumner,Fixups
3148367585,44f43d8b9a6be0a128c3e51e9693fb1d52491a0a,Jarred-Sumner,Jarred-Sumner,finish
3148367585,b8b90a8fcffb66036dd1a2fdc79773a899219b0a,Jarred-Sumner,github-actions[bot],`bun scripts/glob-sources.mjs`
3148367585,4f2cc7bc155ec34872daa7f11bbfd2f4e9d8e60c,Jarred-Sumner,github-actions[bot],`bun run zig-format`
3148367585,009f89d664dbb878f1d8532b3c61e1446602efac,Jarred-Sumner,Jarred-Sumner,Update ban-words.test.ts
3148367585,d0dffa012145bc39da853ec08712c64d1988b072,Jarred-Sumner,Jarred-Sumner,Merge branch 'main' into cursor/rename-command-and-set-alias-4e8a
3148367585,048bb308284e0a746a1ab7eef2af5fd2a4211551,Jarred-Sumner,Jarred-Sumner,Update Arguments.zig
3132195957,a55dc1220d63f86120a020454267c59b98643265,cursoragent,cursoragent,Fix GC heap size reporting and add Blob stream conversion tests
3132195957,b59639436516aa0376956c2a3238434d4ddb892c,cursoragent,cursoragent,Fix Blob memory reporting in ReadableStream conversion
3132195957,4b055d0ce710b7fc31b2f64691aefc90a7aac444,Jarred-Sumner,github-actions[bot],`bun run prettier`
3154285356,ee84276db183948e73728c4317c7b5b183c2ef54,cursoragent,cursoragent,Remove release bubbles UI feature flag and related checks
3154285356,15eccca6c8ee90d98965a1640851066171f102ba,cursoragent,cursoragent,Add release bubbles UI feature flag checks across components
