agent,id,title,reason,type
Devin,2760044965,docs(repo): add dummy line for demonstration,The change is explicitly described as a documentation update with no code or feature changes.,docs
Devin,2905777305,[DEVIN: Moritz] Add auth/sessions endpoints and update ProjectUserRefreshToken model,"The PR introduces new endpoints and updates the data model, which adds new features to the system.",feat
Devin,2905811550,Add Trendshift badge to README,"The change involves adding a badge to the README file, which is a documentation update to showcase project metrics and does not affect code functionality.",docs
Devin,2905878217,chore: remove unused imports,"The PR removes unused imports to clean up the codebase without adding features or fixing bugs, which is a maintenance task typically classified as a chore.",chore
Devin,2759620798,refactor: simplify release workflow,"The PR restructures and simplifies the release workflow without adding new features or fixing bugs, which is a refactor of the existing process.",refactor
Devin,2759596477,Add manual release workflow,"The PR introduces a new GitHub Actions workflow to manually trigger plugin releases, which is a new feature to the CI/CD process.",ci
Devin,2759788051,feat: add landing package with shadcn and v0 components,"The PR introduces a new feature by adding a landing package with specific components and setup, which aligns with the 'feat' type.",feat
Devin,2759847657,feat(ci): add Graphite CI optimizer to build-test workflow,"The PR introduces a new feature to the CI workflow by adding the Graphite CI optimizer to improve efficiency, which aligns with the 'feat' type.",feat
Devin,2905665785,feat: add download failed tests dialog,"The PR introduces a new feature that allows users to download a YAML configuration file containing only the failed tests, adding new components and UI elements to support this functionality.",feat
Devin,2907924502,Fix issue #2315: Correct ChromaDB distance comparison in KnowledgeStorage.search(),"The PR fixes a bug in the KnowledgeStorage.search() method where the distance comparison logic was incorrect, causing improper filtering of results. The change corrects the comparison operator to fix this behavior.",fix
Devin,2760297589,feat: add button and input element support to toolbar,"The PR introduces new features including support for button and input elements in the toolbar, drag-and-drop functionality, and UI enhancements, which aligns with the 'feat' type.",feat
Devin,2963607740,"Add missing documentation for scalar, aggregate, and table functions","The PR adds missing documentation for various functions without changing code functionality, which is a documentation-only change.",docs
Devin,2760266883,feat: default admin bookings to own user by default,"The PR introduces a new feature that automatically filters bookings to the admin's own user by default, enhancing the user experience for admin users.",feat
Devin,2963758372,Add documentation for tpch_gen table functions,The PR is focused solely on adding documentation for the tpch_gen table functions without changing code functionality.,docs
Devin,2964227653,Fix JSONSearchTool validation error (Issue #2508),"The PR fixes a validation error in JSONSearchTool by modifying the schema and adding a validator to handle dictionary inputs, which is a bug fix.",fix
Devin,2760305985,feat: user-friendly duration selector,"The PR introduces a new user interface feature for selecting event durations, including preset buttons, a slider, and a custom input field, which adds new functionality to the application.",feat
Devin,2760115428,feat: inline search bar with team tabs and gradient fade effect,"The PR introduces a new UI feature by adjusting the search bar layout and adding a gradient fade effect, which enhances the user interface without fixing a bug or just refactoring existing code.",feat
Devin,2760243902,Add integration tests for Anthropic/Cohere/Groq/Litellm/Mistral/AI21,"The changes primarily involve adding and improving integration tests, including handling missing API keys and fixing docstring formatting in test files, which aligns with adding or correcting tests.",test
Devin,2760327496,ci: add graphite ci optimizer and update job dependencies,"The changes primarily involve adding a new CI optimization feature and updating job dependencies in the CI workflow, which aligns with adding a new feature to the CI process.",feat
Devin,2964636369,Add Documentation objects to arithmetic function sets,"The PR adds documentation objects to existing arithmetic function sets, which is a documentation enhancement without changing functionality or fixing bugs.",docs
Devin,2964751078,Add documentation to FUNCTION_SET_NEGATE and FUNCTION_SET_NOT,"The PR adds documentation to existing functions without changing code functionality, which is a documentation-only change.",docs
Devin,3038390136,refactor: deduplicate buildImage task declarations,"The PR removes duplicate task declarations and reorganizes existing code without adding new features or fixing bugs, which is a typical refactor activity.",refactor
Devin,2964974679,Add support for Gemini 2.5 Pro Experimental model,"The PR introduces support for a new model, which is a new feature addition to the project.",feat
Devin,2964834156,docs(changelog): add platform changelog for version 1.6.0,"The PR adds documentation in the form of a changelog for a new version, which is purely documentation and does not affect code functionality.",docs
Devin,3038625817,Add support for OpenAI's o4-mini model,The PR introduces a new feature by adding support for a new model 'o4-mini' including updates to configuration and tests.,feat
Devin,3039380315,perf: optimize app loading and rendering performance with TypeScript fix,"The PR fixes TypeScript type checking issues and null checks, which are bug fixes ensuring proper type safety and preventing errors.",fix
Devin,2964863960,Remove addTables functionality from schema override feature,"The change involves removing an existing functionality that is no longer needed, which is a code change that neither fixes a bug nor adds a feature, fitting the definition of a refactor.",refactor
Devin,3039055142,Fix #2753: Handle large inputs in memory by chunking text before embedding,"The PR introduces a new feature to handle large inputs by chunking text before embedding, which is a new functionality to prevent crashes with large inputs when memory=True is enabled.",feat
Devin,2965833400,Add Langfuse User Feedback Tracking,"The PR introduces a new feature by adding user feedback tracking functionality, including database changes, client-side SDK integration, and UI components for feedback submission.",feat
Devin,3039645274,feat: add 'View Responses' menu item to Routing Form dropdown,"The PR introduces a new feature by adding a 'View Responses' menu item to the Routing Form dropdown, which provides additional functionality to the user interface.",feat
Devin,2965816024,Add Sentry integration for trigger.dev tasks,"The PR introduces a new feature by integrating Sentry for enhanced error monitoring and debugging in trigger.dev tasks, which adds new functionality rather than fixing a bug or making other types of changes.",feat
Devin,3039769863,Fix #2755: Add support for custom knowledge storage with pre-existing embeddings,"The PR introduces a new class and functionality to support custom knowledge storage with pre-existing embeddings, which is a new feature addition.",feat
Devin,2818940848,chore: upgrade Docusaurus to 3.7,"The PR upgrades the Docusaurus dependencies, which affects the build system and external dependencies, fitting the 'build' category.",build
Devin,2818857108,Fix Unicode sanitization for Vespa document indexing,"The PR fixes a bug related to Unicode sanitization that caused document indexing to fail due to illegal Unicode code points. The changes update the sanitization function and add tests to ensure proper handling of these characters, directly addressing a bug in the system.",fix
Devin,2819000175,docs: improve documentation build and upgrade guide,"The PR focuses solely on improving and updating the documentation related to building and upgrading the documentation site, without changing any code functionality.",docs
Devin,2819638763,feat: add fallback to direct starter download for no-Git environments,"The PR introduces a new feature that adds a fallback mechanism for downloading starter files directly in environments without Git, enhancing functionality.",feat
Devin,2819377735,fix: correct time formatting for minutes and seconds in cell status,"The PR title and description clearly indicate that the change fixes a bug related to incorrect time formatting in cell status, including correcting rounding and conversion issues, and adding tests to verify the fix.",fix
Devin,2819650730,feat: add separate plugin for release notes with lenient broken link handling,"The PR introduces a new feature by adding a separate plugin instance for release notes with specific broken link handling behavior, enhancing the documentation system's functionality.",feat
Devin,2819976295,docs: integrate new contributor guide,"The PR updates and adds new documentation content without changing code functionality, fitting the 'docs' category.",docs
Devin,2819134642,chore: Upgrade Docusaurus to 3.7.x,"The commit upgrades the Docusaurus dependency and includes related configuration and content fixes, which is a maintenance task rather than a feature or bug fix. This fits the 'chore' category as it involves upgrading tools and improving the development environment without adding features or fixing bugs in the product code.",chore
Devin,2819751239,feat: implement node-gyp wrapper for native module compilation,"The PR introduces a new feature: a node-gyp wrapper to enable native module compilation using Electron's Node runtime, along with build configuration updates and environment handling.",feat
Devin,2819798794,fix: transaction for batch_add_ext_perm_user_if_not_exists,"The title explicitly states 'fix' and the description mentions ensuring thread safety and adding a concurrency test, indicating a bug fix related to transaction handling.",fix
Devin,2820738300,refactor: rename orgId to workspaceId in analytics events,"The PR changes variable names from 'orgId' to 'workspaceId' in analytics events without adding features or fixing bugs, indicating a code refactor for consistency.",refactor
Devin,2821503897,source-shopify: Add pendulum as explicit dependency,"The change adds a new explicit dependency to the project, which is a modification to the build configuration rather than a feature or bug fix.",build
Devin,2821981350,refactor: prevent chat messages from re-rendering on stream updates,"The changes focus on restructuring the code to optimize rendering behavior without adding new features or fixing bugs, which aligns with a refactor.",refactor
Devin,2821716083,feat: update internal packages to Python 3.11,"The PR introduces a new feature by updating internal packages to support Python 3.11 and replacing deprecated usage, which enhances the codebase with new capabilities and compatibility.",feat
Devin,2821659019,feat: update Python connector base image to v4.0.0 with Python 3.11,"The PR introduces a new feature by updating the Python connector base image to a new major version with Python 3.11, which is a significant upgrade and enhancement.",feat
Devin,2822168236,Add shared poe tasks to be reused by Python connectors,"The PR introduces new shared tasks for Python connectors, which adds new functionality to the build and development process, qualifying it as a new feature.",feat
Devin,2971108176,Deprecate ComputeCosts and FlatStorageReads features,"The change involves deprecating features and removing conditional checks related to them, which is a code change that neither fixes a bug nor adds a new feature, fitting the definition of a refactor.",refactor
Devin,2971103872,Deprecate RestrictTla and TestnetFewerBlockProducers features,"The change involves deprecating features, which is a code modification that neither fixes a bug nor adds a new feature, fitting the refactor category.",refactor
