issue_id,event,created_at,actor,commit_id,assignee,label,message
promptfoo__promptfoo__2724,committed,,,679eb615866de9e64e2aeafcb647b3a1a40d088c,,,"fix: add javascript file support in csv assertions

Co-Authored-By: Ian Webster <ian@promptfoo.dev>"
promptfoo__promptfoo__2724,committed,,,01b206c37976be1c3859622d4c3f3459dcb0d078,,,Refactor condition for file type check in assertionFromString and export additional constants.
promptfoo__promptfoo__2724,committed,,,3ea09e18d54e99b6f05cdf61471aa6118055246a,,,Refactor CSV test cases to improve structure and add new assertion parsing tests.
promptfoo__promptfoo__2724,cross-referenced,2025-01-17T04:58:39Z,gru-agent[bot],,,,
promptfoo__promptfoo__2724,automatic_base_change_succeeded,2025-01-17T19:35:21Z,typpo,,,,
promptfoo__promptfoo__2724,closed,2025-01-17T19:36:14Z,typpo,,,,
schemahero__schemahero__1155,commented,2025-05-01T12:58:37Z,marccampbell,,,,
schemahero__schemahero__1155,cross-referenced,2025-05-01T13:09:44Z,devin-ai-integration[bot],,,,
schemahero__schemahero__1155,closed,2025-05-01T14:19:12Z,marccampbell,,,,
jnsahaj__tweakcn__90,closed,2025-05-22T22:12:07Z,jnsahaj,,,,
jnsahaj__tweakcn__90,commented,2025-05-22T22:14:04Z,jnsahaj,,,,
crewAIInc__crewAI__2107,labeled,2025-02-12T10:58:30Z,alvaropastor7,,,bug,
crewAIInc__crewAI__2107,renamed,2025-02-12T10:59:29Z,alvaropastor7,,,,
crewAIInc__crewAI__2107,cross-referenced,2025-02-12T11:08:05Z,devin-ai-integration[bot],,,,
crewAIInc__crewAI__2107,commented,2025-02-19T15:33:12Z,bhancockio,,,,
crewAIInc__crewAI__2107,closed,2025-02-19T15:33:13Z,bhancockio,,,,
crewAIInc__crewAI__2188,labeled,2025-02-21T11:33:12Z,Saicheg,,,feature-request,
crewAIInc__crewAI__2188,referenced,2025-02-21T11:40:38Z,devin-ai-integration[bot],326f40660575a48e90b5f4f127d02a0f672d1569,,,
crewAIInc__crewAI__2188,cross-referenced,2025-02-21T11:40:40Z,devin-ai-integration[bot],,,,
crewAIInc__crewAI__2188,commented,2025-03-23T12:16:50Z,github-actions[bot],,,,
crewAIInc__crewAI__2188,labeled,2025-03-23T12:16:51Z,github-actions[bot],,,no-issue-activity,
crewAIInc__crewAI__2188,commented,2025-03-23T13:57:58Z,Saicheg,,,,
crewAIInc__crewAI__2188,unlabeled,2025-03-24T12:17:13Z,github-actions[bot],,,no-issue-activity,
crewAIInc__crewAI__2188,assigned,2025-04-11T20:27:42Z,lucasgomide,,lucasgomide,,
crewAIInc__crewAI__2188,commented,2025-04-15T20:38:57Z,lucasgomide,,,,
crewAIInc__crewAI__2188,mentioned,2025-04-15T20:38:58Z,Saicheg,,,,
crewAIInc__crewAI__2188,subscribed,2025-04-15T20:38:58Z,Saicheg,,,,
crewAIInc__crewAI__2188,commented,2025-04-17T08:38:19Z,Saicheg,,,,
crewAIInc__crewAI__2188,commented,2025-05-17T12:17:01Z,github-actions[bot],,,,
crewAIInc__crewAI__2188,labeled,2025-05-17T12:17:02Z,github-actions[bot],,,no-issue-activity,
crewAIInc__crewAI__2188,commented,2025-05-19T09:55:19Z,Saicheg,,,,
crewAIInc__crewAI__2188,commented,2025-05-19T12:02:49Z,Vidit-Ostwal,,,,
crewAIInc__crewAI__2188,unlabeled,2025-05-19T12:17:27Z,github-actions[bot],,,no-issue-activity,
crewAIInc__crewAI__2188,commented,2025-06-19T12:17:26Z,github-actions[bot],,,,
crewAIInc__crewAI__2188,labeled,2025-06-19T12:17:27Z,github-actions[bot],,,no-issue-activity,
crewAIInc__crewAI__2188,commented,2025-06-24T12:17:27Z,github-actions[bot],,,,
crewAIInc__crewAI__2188,closed,2025-06-24T12:17:28Z,github-actions[bot],,,,
lingodotdev__lingo.dev__1,committed,,,cc250954445a103369bcd94223e4654f89c4a643,,,chore: bump package version [skip ci]
lingodotdev__lingo.dev__1,head_ref_force_pushed,2024-03-20T22:12:51Z,github-actions[bot],cc250954445a103369bcd94223e4654f89c4a643,,,
lingodotdev__lingo.dev__1,merged,2024-03-20T22:15:49Z,maxprilutskiy,6b97fcd95f953a70938d209b94c0c066d5a99d4d,,,
lingodotdev__lingo.dev__1,closed,2024-03-20T22:15:49Z,maxprilutskiy,,,,
lingodotdev__lingo.dev__1,head_ref_deleted,2024-03-20T22:15:50Z,maxprilutskiy,,,,
lingodotdev__lingo.dev__1,referenced,2024-03-29T17:30:12Z,maxprilutskiy,8b66a3f1c16ceb35bbe533b581cdd0544745757a,,,
lingodotdev__lingo.dev__1,cross-referenced,2025-05-21T23:26:59Z,maxprilutskiy,,,,
lingodotdev__lingo.dev__1,cross-referenced,2025-06-09T18:47:09Z,maxprilutskiy,,,,
onlook-dev__onlook__934,labeled,2024-12-26T02:09:05Z,mrnfrancesco,,,bug,
onlook-dev__onlook__934,commented,2024-12-30T20:00:45Z,Kitenite,,,,
onlook-dev__onlook__934,mentioned,2024-12-30T20:00:46Z,mrnfrancesco,,,,
onlook-dev__onlook__934,subscribed,2024-12-30T20:00:46Z,mrnfrancesco,,,,
onlook-dev__onlook__934,referenced,2025-01-12T06:53:48Z,devin-ai-integration[bot],a32482aa941fe604f46c245e9c8ae0a1966bbe2d,,,
onlook-dev__onlook__934,cross-referenced,2025-01-12T06:54:23Z,devin-ai-integration[bot],,,,
onlook-dev__onlook__934,commented,2025-01-12T07:02:58Z,devin-ai-integration[bot],,,,
onlook-dev__onlook__934,closed,2025-05-17T18:04:26Z,Kitenite,,,,
crewAIInc__crewAI__2933,labeled,2025-06-02T18:10:02Z,blazerrt86899,,,feature-request,
crewAIInc__crewAI__2933,referenced,2025-06-02T18:18:16Z,devin-ai-integration[bot],229bbd9bbec07d040b8ec4f49049b5ccf585692e,,,
crewAIInc__crewAI__2933,cross-referenced,2025-06-02T18:18:39Z,devin-ai-integration[bot],,,,
crewAIInc__crewAI__2933,commented,2025-06-02T22:06:23Z,lucasgomide,,,,
crewAIInc__crewAI__2933,mentioned,2025-06-02T22:06:24Z,blazerrt86899,,,,
crewAIInc__crewAI__2933,subscribed,2025-06-02T22:06:24Z,blazerrt86899,,,,
crewAIInc__crewAI__2933,commented,2025-06-08T18:45:11Z,blazerrt86899,,,,
crewAIInc__crewAI__2933,commented,2025-06-08T19:08:13Z,Vidit-Ostwal,,,,
crewAIInc__crewAI__2933,mentioned,2025-06-08T19:08:14Z,lucasgomide,,,,
crewAIInc__crewAI__2933,subscribed,2025-06-08T19:08:14Z,lucasgomide,,,,
crewAIInc__crewAI__2933,commented,2025-06-10T06:14:51Z,Vidit-Ostwal,,,,
crewAIInc__crewAI__2933,mentioned,2025-06-10T06:14:52Z,lucasgomide,,,,
crewAIInc__crewAI__2933,subscribed,2025-06-10T06:14:52Z,lucasgomide,,,,
crewAIInc__crewAI__2933,commented,2025-06-10T06:22:35Z,Vidit-Ostwal,,,,
crewAIInc__crewAI__2933,mentioned,2025-06-10T06:22:36Z,blazerrt86899,,,,
crewAIInc__crewAI__2933,subscribed,2025-06-10T06:22:36Z,blazerrt86899,,,,
crewAIInc__crewAI__2933,commented,2025-06-10T11:58:49Z,lucasgomide,,,,
crewAIInc__crewAI__2933,mentioned,2025-06-10T11:58:51Z,lucasgomide,,,,
crewAIInc__crewAI__2933,subscribed,2025-06-10T11:58:51Z,lucasgomide,,,,
crewAIInc__crewAI__2933,cross-referenced,2025-06-10T18:36:11Z,Vidit-Ostwal,,,,
crewAIInc__crewAI__2933,closed,2025-06-16T14:49:29Z,lucasgomide,,,,
risingwavelabs__risingwave__20543,labeled,2025-02-20T04:00:11Z,xxchan,,,type/feature,
risingwavelabs__risingwave__20543,renamed,2025-02-20T04:00:17Z,xxchan,,,,
risingwavelabs__risingwave__20543,milestoned,2025-02-20T04:00:24Z,github-actions[bot],,,,
risingwavelabs__risingwave__20543,commented,2025-04-22T02:10:24Z,github-actions[bot],,,,
risingwavelabs__risingwave__20543,labeled,2025-04-22T02:10:25Z,github-actions[bot],,,no-issue-activity,
risingwavelabs__risingwave__20543,demilestoned,2025-04-25T06:30:06Z,hzxa21,,,,
risingwavelabs__risingwave__20543,milestoned,2025-04-25T06:30:06Z,hzxa21,,,,
risingwavelabs__risingwave__20543,assigned,2025-04-25T06:30:13Z,hzxa21,,xxchan,,
risingwavelabs__risingwave__20543,unlabeled,2025-04-26T02:08:33Z,github-actions[bot],,,no-issue-activity,
risingwavelabs__risingwave__20543,labeled,2025-04-26T09:02:56Z,xxchan,,,component/dashboard,
risingwavelabs__risingwave__20543,cross-referenced,2025-04-27T08:09:19Z,devin-ai-integration[bot],,,,
risingwavelabs__risingwave__20543,commented,2025-04-27T12:01:08Z,devin-ai-integration[bot],,,,
risingwavelabs__risingwave__20543,demilestoned,2025-06-18T08:18:52Z,xxchan,,,,
risingwavelabs__risingwave__20543,milestoned,2025-06-18T08:18:52Z,xxchan,,,,
lingodotdev__lingo.dev__740,committed,,,24d7d880748061b75c8fcca8be95495fa8fc40be,,,chore: bump package version
lingodotdev__lingo.dev__740,merged,2025-05-04T20:48:23Z,maxprilutskiy,691b0aff27d286d00be4b72a15a76181cb9de942,,,
lingodotdev__lingo.dev__740,closed,2025-05-04T20:48:23Z,maxprilutskiy,,,,
lingodotdev__lingo.dev__740,head_ref_deleted,2025-05-04T20:48:25Z,maxprilutskiy,,,,
crewAIInc__crewAI__2768,labeled,2025-05-06T22:08:17Z,VictorCostaOliveira,,,bug,
crewAIInc__crewAI__2768,referenced,2025-05-06T22:46:23Z,devin-ai-integration[bot],6fb4438e52677bd5d50fe4389126deced3e240f3,,,
crewAIInc__crewAI__2768,cross-referenced,2025-05-06T22:46:25Z,devin-ai-integration[bot],,,,
crewAIInc__crewAI__2768,commented,2025-05-08T11:26:29Z,lucasgomide,,,,
crewAIInc__crewAI__2768,mentioned,2025-05-08T11:26:30Z,VictorCostaOliveira,,,,
