agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,created_at
Devin,3050491453,1376,https://github.com/RockChinQ/LangBot,https://github.com/RockChinQ/LangBot/pull/1376,https://github.com/RockChinQ/LangBot/issues/1362,1362,2025-05-09T01:41:27Z
Devin,2771599553,308,https://github.com/bespokelabsai/curator,https://github.com/bespokelabsai/curator/pull/308,https://github.com/bespokelabsai/curator/issues/162,162,2025-01-07T00:46:41Z
Devin,2773814208,321,https://github.com/bespokelabsai/curator,https://github.com/bespokelabsai/curator/pull/321,https://github.com/bespokelabsai/curator/issues/155,155,2025-01-07T22:21:41Z
Devin,2877052668,779,https://github.com/liam-hq/liam,https://github.com/liam-hq/liam/pull/779,https://github.com/liam-hq/liam/issues/778,778,2025-02-25T08:29:09Z
Devin,2989761342,2588,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI/pull/2588,https://github.com/crewAIInc/crewAI/issues/2616,2616,2025-04-16T05:26:54Z
Devin,3050668847,94,https://github.com/noneback/go-taskflow,https://github.com/noneback/go-taskflow/pull/94,https://github.com/noneback/go-taskflow/issues/79,79,2025-05-09T13:06:31Z
Devin,2970254623,2522,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI/pull/2522,https://github.com/AI4quantum/maestro/issues/440,440,2025-04-23T08:05:42Z
Devin,2791684530,2710,https://github.com/promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/pull/2710,https://github.com/promptfoo/promptfoo/issues/2685,2685,2025-01-19T18:25:29Z
Devin,3084646319,96,https://github.com/jnsahaj/tweakcn,https://github.com/jnsahaj/tweakcn/pull/96,https://github.com/jnsahaj/tweakcn/issues/90,90,2025-05-22T22:14:04Z
Devin,2909466588,2329,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI/pull/2329,https://github.com/crewAIInc/crewAI/issues/2326,2326,2025-04-14T09:03:15Z
Devin,3072351994,2974,https://github.com/vdaas/vald,https://github.com/vdaas/vald/pull/2974,https://github.com/vdaas/vald/issues/2995,2995,2025-06-01T03:41:49Z
