url,id,full_name,language,forks,stars,open_issues
https://api.github.com/repos/spring-projects/spring-kafka,52980493,spring-projects/spring-kafka,Java,1631,2350,61
https://api.github.com/repos/stair-lab/kg-gen,880940273,stair-lab/kg-gen,Python,60,513,6
https://api.github.com/repos/DistroAV/DistroAV,71643008,DistroAV/DistroAV,C++,391,3736,59
https://api.github.com/repos/Nethereum/Nethereum,46746187,Nethereum/Nethereum,C#,733,2201,109
https://api.github.com/repos/propelorm/Propel2,2524463,propelorm/Propel2,PHP,400,1270,265
https://api.github.com/repos/Genymobile/scrcpy,111583593,Genymobile/scrcpy,C,11625,124205,2435
https://api.github.com/repos/odigos-io/odigos,501095512,odigos-io/odigos,Go,222,3451,42
https://api.github.com/repos/simonw/llm,622352364,simonw/llm,Python,526,8653,450
https://api.github.com/repos/anyproto/anytype-ts,643874750,anyproto/anytype-ts,TypeScript,348,5631,123
https://api.github.com/repos/asgeirtj/system_prompts_leaks,976921297,asgeirtj/system_prompts_leaks,JavaScript,1552,6813,5
https://api.github.com/repos/fatih/dotfiles,19358112,fatih/dotfiles,Lua,140,833,1
https://api.github.com/repos/langchain-ai/open-agent-platform,967116984,langchain-ai/open-agent-platform,TypeScript,247,1323,28
https://api.github.com/repos/clemlesne/scrape-it-now,842905162,clemlesne/scrape-it-now,Python,20,519,17
https://api.github.com/repos/opal/opal,184366,opal/opal,Ruby,332,4868,149
https://api.github.com/repos/strapi/documentation,306091505,strapi/documentation,JavaScript,1223,1130,57
https://api.github.com/repos/virattt/ai-hedge-fund,896144595,virattt/ai-hedge-fund,Python,6440,37090,28
https://api.github.com/repos/golang-design/clipboard,314230339,golang-design/clipboard,Go,75,694,24
https://api.github.com/repos/shoelace-style/shoelace,98339432,shoelace-style/shoelace,TypeScript,899,13539,89
https://api.github.com/repos/intellij-solidity/intellij-solidity,82682728,intellij-solidity/intellij-solidity,Kotlin,97,1088,63
https://api.github.com/repos/elsa-workflows/elsa-core,151148482,elsa-workflows/elsa-core,C#,1351,7140,799
https://api.github.com/repos/netz98/n98-magerun2,25814103,netz98/n98-magerun2,PHP,227,901,32
https://api.github.com/repos/ktorio/ktor,40136600,ktorio/ktor,Kotlin,1149,13687,181
https://api.github.com/repos/bcherny/json-schema-to-typescript,54443780,bcherny/json-schema-to-typescript,TypeScript,409,3091,169
https://api.github.com/repos/Felix3322/PotPlayer_ChatGPT_Translate,891226379,Felix3322/PotPlayer_ChatGPT_Translate,AngelScript,35,529,0
https://api.github.com/repos/noodlehaus/dispatch,3322218,noodlehaus/dispatch,PHP,102,534,0
https://api.github.com/repos/DataDog/dd-trace-java,89221572,DataDog/dd-trace-java,Java,306,648,281
https://api.github.com/repos/sooperset/mcp-atlassian,897809208,sooperset/mcp-atlassian,Python,376,2132,51
https://api.github.com/repos/btwld/mix,378459401,btwld/mix,Dart,43,700,36
https://api.github.com/repos/Codehagen/Badget,737550719,Codehagen/Badget,TypeScript,281,2566,1
https://api.github.com/repos/uxlfoundation/oneDAL,54928587,uxlfoundation/oneDAL,C++,221,637,67
https://api.github.com/repos/open-ani/animeko,519845229,open-ani/animeko,Kotlin,192,7839,368
https://api.github.com/repos/johnlindquist/kit,317639685,johnlindquist/kit,TypeScript,143,4050,144
https://api.github.com/repos/ggml-org/whisper.cpp,541269386,ggml-org/whisper.cpp,C++,4386,41026,979
https://api.github.com/repos/uxlfoundation/scikit-learn-intelex,143831524,uxlfoundation/scikit-learn-intelex,Python,182,1295,99
https://api.github.com/repos/ckan/ckan,2750721,ckan/ckan,Python,2037,4736,801
https://api.github.com/repos/FluidGroup/Brightroom,152070599,FluidGroup/Brightroom,Swift,321,3527,33
https://api.github.com/repos/RSSNext/Folo,783512367,RSSNext/Folo,TypeScript,1167,26883,208
https://api.github.com/repos/PrunaAI/pruna,946676136,PrunaAI/pruna,Python,31,733,39
https://api.github.com/repos/msoedov/agentic_security,785334631,msoedov/agentic_security,Python,228,1495,65
https://api.github.com/repos/trycompai/comp,917358773,trycompai/comp,TypeScript,112,874,55
https://api.github.com/repos/blokadaorg/blokada,74214783,blokadaorg/blokada,Dart,221,3112,207
