issue_id,event,created_at,actor,commit_id,assignee,label,message
promptfoo__promptfoo__4185,committed,,,6a14a11036cd28b217928c5a8cf4b2409d6bb60f,,,"Add comprehensive tests for SQL assertion handling, including valid and invalid syntax cases."
promptfoo__promptfoo__4185,review_requested,2025-05-27T07:21:26Z,gru-agent[bot],,,,
promptfoo__promptfoo__4185,assigned,2025-05-27T07:21:28Z,gru-agent[bot],,mldangelo,,
promptfoo__promptfoo__4185,cross-referenced,2025-05-27T07:21:28Z,gru-agent[bot],,,,
promptfoo__promptfoo__4185,merged,2025-05-27T08:09:06Z,mldangelo,addf18d3a417f9f8197025edb3148fbd54843246,,,
promptfoo__promptfoo__4185,closed,2025-05-27T08:09:06Z,mldangelo,,,,
promptfoo__promptfoo__4185,head_ref_deleted,2025-05-27T08:09:07Z,mldangelo,,,,
lollipopkit__flutter_server_box__625,commented,2024-11-09T02:21:06Z,Issues-translate-bot,,,,
lollipopkit__flutter_server_box__625,commented,2024-12-01T13:23:08Z,CanglanXYA,,,,
lollipopkit__flutter_server_box__625,commented,2025-06-04T23:34:01Z,lollipopkit,,,,
lollipopkit__flutter_server_box__625,closed,2025-06-04T23:34:01Z,lollipopkit,,,,
samayo__country-json__274,commented,2025-06-10T20:42:00Z,samayo,,,,
samayo__country-json__274,closed,2025-06-10T20:42:00Z,samayo,,,,
langfuse__langfuse__1547,committed,,,5ca92cfb220da0a8968cceee485c8e4e7faa7f03,,,fix(api): casing of fromTimestamp param
langfuse__langfuse__1547,review_requested,2024-03-29T20:45:41Z,marcklingen,,,,
langfuse__langfuse__1547,auto_squash_enabled,2024-03-29T20:45:42Z,marcklingen,,,,
langfuse__langfuse__1547,commented,2024-03-29T20:45:47Z,vercel[bot],,,,
langfuse__langfuse__1547,renamed,2024-03-29T20:45:54Z,marcklingen,,,,
langfuse__langfuse__1547,auto_merge_disabled,2024-03-29T20:48:26Z,marcklingen,,,,
langfuse__langfuse__1547,committed,,,69492c9c133c7668d25caadfcd14a2937fa9db19,,,Merge branch 'main' into fix-casing
langfuse__langfuse__1547,merged,2024-03-29T20:49:04Z,marcklingen,036736d805873bf89e1ad6cea8dbbc0d230e402e,,,
langfuse__langfuse__1547,closed,2024-03-29T20:49:04Z,marcklingen,,,,
langfuse__langfuse__1547,head_ref_deleted,2024-03-29T20:49:05Z,marcklingen,,,,
langfuse__langfuse__1547,deployed,2024-03-29T20:52:55Z,vercel[bot],,,,
stanfordnlp__dspy__8358,committed,,,0070b4dd664f2e58563800fd5d2347fdca484968,,,Add XML adapter and improve enum prompts
stanfordnlp__dspy__8358,committed,,,8518d0bc48b1e0a4df15241cbd9570ed6dfc7921,,,add unit testing
