agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,created_at
OpenAI_Codex,3129355047,215,https://github.com/SimonHalvdansson/Harmonic-HN,https://github.com/SimonHalvdansson/Harmonic-HN/pull/215,https://github.com/SimonHalvdansson/Harmonic-HN/issues/214,214,2025-06-09T06:59:27Z
OpenAI_Codex,3126812709,78,https://github.com/golang-design/clipboard,https://github.com/golang-design/clipboard/pull/78,https://github.com/golang-design/clipboard/issues/57,57,2025-06-07T10:23:27Z
OpenAI_Codex,3117563567,498,https://github.com/syntasso/kratix,https://github.com/syntasso/kratix/pull/498,https://github.com/syntasso/kratix/issues/473,473,2025-06-04T15:56:25Z
OpenAI_Codex,3089138078,2451,https://github.com/angular-eslint/angular-eslint,https://github.com/angular-eslint/angular-eslint/pull/2451,https://github.com/angular-eslint/angular-eslint/issues/1780,1780,2025-05-25T09:15:54Z
OpenAI_Codex,3088358503,1366,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs/pull/1366,https://github.com/EricLBuehler/mistral.rs/issues/1361,1361,2025-05-24T10:52:07Z
OpenAI_Codex,3070229503,7038,https://github.com/KittyCAD/modeling-app,https://github.com/KittyCAD/modeling-app/pull/7038,https://github.com/KittyCAD/modeling-app/issues/7016,7016,2025-05-19T17:16:50Z
OpenAI_Codex,3164082308,2492,https://github.com/FarmBot/Farmbot-Web-App,https://github.com/FarmBot/Farmbot-Web-App/pull/2492,https://github.com/FarmBot/Farmbot-Web-App/issues/1714,1714,2025-06-21T06:21:44Z
OpenAI_Codex,3139892660,932,https://github.com/go-vikunja/vikunja,https://github.com/go-vikunja/vikunja/pull/932,https://github.com/go-vikunja/vikunja/issues/276,276,2025-06-13T06:10:47Z
OpenAI_Codex,3119325967,260,https://github.com/synth-inc/onit,https://github.com/synth-inc/onit/pull/260,https://github.com/synth-inc/onit/issues/252,252,2025-06-04T23:22:13Z
OpenAI_Codex,3140887643,93,https://github.com/openai/openai-agents-js,https://github.com/openai/openai-agents-js/pull/93,https://github.com/openai/openai-agents-js/issues/107,107,2025-06-15T16:27:31Z
OpenAI_Codex,3134579800,912,https://github.com/go-vikunja/vikunja,https://github.com/go-vikunja/vikunja/pull/912,https://github.com/go-vikunja/vikunja/issues/677,677,2025-06-10T19:09:56Z
OpenAI_Codex,3071684389,6898,https://github.com/langfuse/langfuse,https://github.com/langfuse/langfuse/pull/6898,https://github.com/langfuse/langfuse-docs/issues/1547,1547,2025-05-18T13:06:15Z
OpenAI_Codex,3161217789,1493,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs/pull/1493,https://github.com/EricLBuehler/mistral.rs/issues/1490,1490,2025-06-19T19:54:34Z
OpenAI_Codex,3131034017,1614,https://github.com/cartography-cncf/cartography,https://github.com/cartography-cncf/cartography/pull/1614,https://github.com/cartography-cncf/cartography/issues/1593,1593,2025-06-09T20:39:15Z
OpenAI_Codex,3075942194,556,https://github.com/wei/socialify,https://github.com/wei/socialify/pull/556,https://github.com/wei/socialify/issues/47,47,2025-06-09T22:44:03Z
OpenAI_Codex,3122691406,1933,https://github.com/konvajs/konva,https://github.com/konvajs/konva/pull/1933,https://github.com/konvajs/svelte-konva/issues/278,278,2025-06-05T21:18:24Z
OpenAI_Codex,3117029222,52,https://github.com/cameroncooke/XcodeBuildMCP,https://github.com/cameroncooke/XcodeBuildMCP/pull/52,https://github.com/cameroncooke/XcodeBuildMCP/issues/47,47,2025-06-04T20:42:55Z
OpenAI_Codex,3137839856,2152,https://github.com/onlook-dev/onlook,https://github.com/onlook-dev/onlook/pull/2152,https://github.com/onlook-dev/onlook/issues/1951,1951,2025-06-11T19:19:04Z
OpenAI_Codex,3119037956,773,https://github.com/lollipopkit/flutter_server_box,https://github.com/lollipopkit/flutter_server_box/pull/773,https://github.com/lollipopkit/flutter_server_box/issues/625,625,2025-06-04T23:34:01Z
OpenAI_Codex,3098859005,19966,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/19966,https://github.com/oven-sh/bun/issues/4540,4540,2025-05-29T05:54:23Z
OpenAI_Codex,3082279573,19841,https://github.com/oven-sh/bun,https://github.com/oven-sh/bun/pull/19841,https://github.com/oven-sh/bun/issues/1224,1224,2025-05-23T10:13:58Z
OpenAI_Codex,3070333952,1373,https://github.com/julep-ai/julep,https://github.com/julep-ai/julep/pull/1373,https://github.com/julep-ai/julep/issues/1413,1413,2025-05-19T13:37:56Z
OpenAI_Codex,3145100608,104,https://github.com/openai/openai-agents-js,https://github.com/openai/openai-agents-js/pull/104,https://github.com/openai/openai-agents-js/issues/32,32,2025-06-16T17:05:49Z
OpenAI_Codex,3134792841,279,https://github.com/samayo/country-json,https://github.com/samayo/country-json/pull/279,https://github.com/samayo/country-json/issues/274,274,2025-06-10T20:42:01Z
OpenAI_Codex,3131851644,5035,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/pull/5035,https://github.com/langchain-ai/langgraph/issues/5077,5077,2025-06-12T13:36:00Z
OpenAI_Codex,3142506002,934,https://github.com/go-vikunja/vikunja,https://github.com/go-vikunja/vikunja/pull/934,https://github.com/go-vikunja/vikunja/issues/896,896,2025-06-13T07:16:53Z
