pr_id,event,created_at,actor,commit_id,assignee,label,message
3102715813,committed,,,06730c2a2bb153540b8a9b146d6ee545319c2136,,,Improve Javadocs for document context classes
3102715813,labeled,2025-05-30T09:53:00Z,peter-lawrey,,,codex,
3102715813,closed,2025-05-30T11:10:15Z,peter-lawrey,,,,
3102715813,head_ref_deleted,2025-06-03T11:38:18Z,peter-lawrey,,,,
3119415087,committed,,,f099c4127e54996c5333e9621957231f944a0946,,,Revert provider env checks and skip test when keys missing
3119415087,commented,2025-06-04T23:54:36Z,vercel[bot],,,,
3119415087,labeled,2025-06-04T23:54:36Z,Kitenite,,,codex,
3119415087,commented,2025-06-04T23:54:40Z,supabase[bot],,,,
3119415087,reviewed,,,f099c4127e54996c5333e9621957231f944a0946,,,
3119415087,merged,2025-06-04T23:57:21Z,Kitenite,3bacfc0084a3acb0f471f165affb1eb2a5938eeb,,,
3119415087,closed,2025-06-04T23:57:21Z,Kitenite,,,,
3119415087,head_ref_deleted,2025-06-04T23:57:23Z,Kitenite,,,,
3119415087,deployed,2025-06-05T00:03:02Z,vercel[bot],,,,
3119415087,deployed,2025-06-05T00:03:53Z,vercel[bot],,,,
3119415087,referenced,2025-06-05T20:33:52Z,t1c1,2dae8c2d0a868153f74025856218342ebbdf5485,,,
3135023891,committed,,,cd64387369b189a3e44af941afbda76bb6be372d,,,fix standard error restoration
3135023891,labeled,2025-06-10T23:01:59Z,lukaszsamson,,,codex,
3135023891,merged,2025-06-11T06:43:05Z,lukaszsamson,c41ac0f42ccb086bc6026556ddf66bda75f47130,,,
3135023891,closed,2025-06-11T06:43:05Z,lukaszsamson,,,,
3135023891,head_ref_deleted,2025-06-11T06:43:06Z,lukaszsamson,,,,
3092262299,committed,,,325605e7cf8b2d0be395673323fb4854bb1beda6,,,"🔄 synced local 'skyvern/' with remote 'skyvern/'

## Summary
- clarify workflow run retrieval and cancellation descriptions
- categorize run endpoints under Agents and Workflows
- move workflow run execution to Workflows group
- simplify workflow creation/update descriptions

## Testing
- `pre-commit` *(fails: command not found)*
<!-- ELLIPSIS_HIDDEN -->

----

> [!IMPORTANT]
> Update workflow documentation to clarify run retrieval and cancellation, categorize endpoints, and simplify creation/update descriptions.
>
>   - **Endpoints**:
>     - Categorize run endpoints under ""Agents"" and ""Workflows"" in `agent_protocol.py`.
>     - Move workflow run execution to ""Workflows"" group in `agent_protocol.py`.
>   - **Docstrings**:
>     - Simplify workflow creation/update descriptions in `create_workflow()` and `update_workflow()` in `client.py`.
>     - Clarify workflow run retrieval and cancellation descriptions in `agent_protocol.py`.
>   - **Misc**:
>     - `pre-commit` testing fails due to ""command not found"".
>
> <sup>This description was created by </sup>[<img alt=""Ellipsis"" src=""https://img.shields.io/badge/Ellipsis-blue?color=175173"">](https://www.ellipsis.dev?ref=Skyvern-AI%2Fskyvern-cloud&utm_source=github&utm_medium=referral)<sup> for d249b5cf16c1c1a9af1c9f3451ade75edfe3a38e. You can [customize](https://app.ellipsis.dev/Skyvern-AI/settings/summaries) this summary. It will automatically update as commits are pushed.</sup>

<!-- ELLIPSIS_HIDDEN -->"
3092262299,labeled,2025-05-27T00:41:26Z,wintonzheng,,,sync,
3092262299,reviewed,,,325605e7cf8b2d0be395673323fb4854bb1beda6,,,
3092262299,reviewed,,,325605e7cf8b2d0be395673323fb4854bb1beda6,,,
3092262299,closed,2025-05-27T01:24:36Z,suchintan,,,,
3092262299,head_ref_deleted,2025-05-27T01:24:42Z,suchintan,,,,
3153947922,committed,,,231620a6d1b31023405e650f97859ade65411f13,,,Guard against empty lists in merge_ranges_lists
3153947922,labeled,2025-06-17T15:38:15Z,lukaszsamson,,,codex,
