pr_id,event,created_at,actor,commit_id,assignee,label,message
3154517662,committed,,,b0b230dde06a93850852ef307708e3d880e9997a,,,"Add lifetime to Selector in redaction iterator

Co-authored-by: Claude <no-reply@anthropic.com>"
3154517662,merged,2025-06-18T00:28:38Z,max-sixty,0eea6072aaa32017874b06e9ef70eb4fd26900aa,,,
3154517662,closed,2025-06-18T00:28:38Z,max-sixty,,,,
3154517662,head_ref_deleted,2025-06-18T00:28:42Z,max-sixty,,,,
3134938995,commented,2025-06-10T21:59:48Z,giuseppe,,,,
3134938995,mentioned,2025-06-10T21:59:49Z,rhatdan,,,,
3134938995,subscribed,2025-06-10T21:59:49Z,rhatdan,,,,
3134938995,mentioned,2025-06-10T21:59:49Z,flouthoc,,,,
3134938995,subscribed,2025-06-10T21:59:50Z,flouthoc,,,,
3134938995,commented,2025-06-10T22:20:12Z,packit-as-a-service[bot],,,,
3134938995,reviewed,,,b08b8cbb728eff21ece5a71afb57ea69bdb4256c,,,
3134938995,head_ref_force_pushed,2025-06-11T08:24:28Z,giuseppe,a7f0d61ca836c8cd5cf3144e1331d56fc5b9a853,,,
3134938995,commented,2025-06-11T08:57:50Z,rhatdan,,,,
3134938995,head_ref_force_pushed,2025-06-11T09:17:16Z,giuseppe,b3ee330ebe1a80be8aadd32a008bafea9640e9d3,,,
3134938995,committed,,,fd118c153ae872c6e19b8aa4987c8edb6a728328,,,"cgroup-setup: drop unused variable

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,271f7f50609146e96bd2701598cb235f63291d12,,,"intelrdt: use snprintf instead of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,4353d55a98933ea1cc8bd62e2f6a7d43f9862ea7,,,"status: use snprintf instead of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,9bb4e901e34cc6a2ff99220c9dd3a6c6a5a12321,,,"linux, utils: use snprintf instead of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,c212049d8f78e2dd98399fb8423669e56aedfee7,,,"seccomp: replace sprintf with snprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,4666e880d24b04cc3425afaf712aae0c5c3bc582,,,"cgroup: replace sprintf with snprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,c3c1928053ff85093c8649c517678b25c283f214,,,"error: replace sprintf with snprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,07eef8ac770922a856590d50fd493b02891fd3be,,,"container: use xasprintf instead of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,af163aa511b9c69cbead21e4b4250abc8ed4a482,,,"container: use snprintf instead of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,committed,,,82b75fa465824fb19c6e44ac36159718174578b8,,,"cfg.mk: prohibit usage of sprintf

Signed-off-by: Giuseppe Scrivano <gscrivan@redhat.com>"
3134938995,head_ref_force_pushed,2025-06-11T09:33:17Z,giuseppe,82b75fa465824fb19c6e44ac36159718174578b8,,,
3134938995,merged,2025-06-11T13:21:43Z,giuseppe,48855fc463628aa729a57aba68c495cfce6e2de5,,,
3134938995,closed,2025-06-11T13:21:43Z,giuseppe,,,,
3140073726,committed,,,0b5c2c283d299d72e85cc376bb7ee0acff04f7ba,,,"feat: add custom field support for property group options

- Add property_group_option to supported entities in custom field service
- Add translations for property_group_option entity in EN and DE
- Implement custom field renderer in property option detail modal
- Enable custom field sets to be assigned to property group options in admin

This allows merchants to define and edit custom fields for property group
options both via manifest.xml and through the admin interface.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
3140073726,commented,2025-06-12T12:19:55Z,github-actions[bot],,,,
