agent,pr_id,pr_number,repo_url,pr_url
Claude_Code,3159212731,2089,https://github.com/liam-hq/liam,https://github.com/liam-hq/liam/pull/2089
Claude_Code,3159415433,83,https://github.com/BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/pull/83
Claude_Code,3072230811,367,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/367
Claude_Code,3081411791,389,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/389
Claude_Code,3084284795,400,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/400
Claude_Code,3141541564,882,https://github.com/facebook/idb,https://github.com/facebook/idb/pull/882
Claude_Code,3142859368,17485,https://github.com/micropython/micropython,https://github.com/micropython/micropython/pull/17485
Claude_Code,3144015338,883,https://github.com/facebook/idb,https://github.com/facebook/idb/pull/883
Claude_Code,3146518192,405,https://github.com/JessicaTegner/pypandoc,https://github.com/JessicaTegner/pypandoc/pull/405
Claude_Code,2942425497,50362,https://github.com/apache/spark,https://github.com/apache/spark/pull/50362
Claude_Code,2942621116,50364,https://github.com/apache/spark,https://github.com/apache/spark/pull/50364
Claude_Code,2942641044,50365,https://github.com/apache/spark,https://github.com/apache/spark/pull/50365
Claude_Code,2964008111,3487,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml/pull/3487
Claude_Code,2964743634,750,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/750
Claude_Code,2970665095,5235,https://github.com/PRQL/prql,https://github.com/PRQL/prql/pull/5235
Claude_Code,2974498229,760,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/760
Claude_Code,2974598623,761,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/761
Claude_Code,2980205609,5247,https://github.com/PRQL/prql,https://github.com/PRQL/prql/pull/5247
Claude_Code,2985351959,3527,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml/pull/3527
Claude_Code,2986431376,3531,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml/pull/3531
Claude_Code,2990012909,994,https://github.com/thefrontside/effection,https://github.com/thefrontside/effection/pull/994
Claude_Code,3005349469,50644,https://github.com/apache/spark,https://github.com/apache/spark/pull/50644
Claude_Code,3089750184,414,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/414
Claude_Code,3090065215,19,https://github.com/anaisbetts/mcp-installer,https://github.com/anaisbetts/mcp-installer/pull/19
Claude_Code,3095130444,426,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/426
Claude_Code,3095153117,427,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/427
Claude_Code,3111420697,985,https://github.com/fishaudio/fish-speech,https://github.com/fishaudio/fish-speech/pull/985
Claude_Code,3112345209,633,https://github.com/modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/633
Claude_Code,3115558470,4241,https://github.com/cloudflare/workerd,https://github.com/cloudflare/workerd/pull/4241
Claude_Code,3115760621,486,https://github.com/modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector/pull/486
Claude_Code,3118662815,4935,https://github.com/elizaOS/eliza,https://github.com/elizaOS/eliza/pull/4935
Claude_Code,3119244984,10866,https://github.com/projectnessie/nessie,https://github.com/projectnessie/nessie/pull/10866
Claude_Code,3120774449,15077,https://github.com/mautic/mautic,https://github.com/mautic/mautic/pull/15077
Claude_Code,3030222252,239,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/239
Claude_Code,3035134659,247,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/247
Claude_Code,3037101455,258,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/258
Claude_Code,3037985682,9019,https://github.com/firezone/firezone,https://github.com/firezone/firezone/pull/9019
Claude_Code,3042148908,271,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/271
Claude_Code,3047165992,17711,https://github.com/coder/coder,https://github.com/coder/coder/pull/17711
Claude_Code,3047228502,291,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/291
Claude_Code,3047699666,1610,https://github.com/liam-hq/liam,https://github.com/liam-hq/liam/pull/1610
Claude_Code,3050538581,301,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/301
Claude_Code,3050614017,302,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/302
Claude_Code,3057825906,31006,https://github.com/mattermost/mattermost,https://github.com/mattermost/mattermost/pull/31006
Claude_Code,3057963178,313,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/313
Claude_Code,3058029609,314,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/314
Claude_Code,3069923749,773,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/773
Claude_Code,3069942339,774,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/774
Claude_Code,3069944091,775,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/775
Claude_Code,3070114059,5286,https://github.com/PRQL/prql,https://github.com/PRQL/prql/pull/5286
Claude_Code,3070149818,5289,https://github.com/PRQL/prql,https://github.com/PRQL/prql/pull/5289
Claude_Code,3070160046,5290,https://github.com/PRQL/prql,https://github.com/PRQL/prql/pull/5290
Claude_Code,3165662397,144,https://github.com/ryoppippi/ccusage,https://github.com/ryoppippi/ccusage/pull/144
Claude_Code,3164503419,40,https://github.com/amantus-ai/vibetunnel,https://github.com/amantus-ai/vibetunnel/pull/40
Claude_Code,3132093324,19396,https://github.com/vllm-project/vllm,https://github.com/vllm-project/vllm/pull/19396
Claude_Code,3132378621,13,https://github.com/razimantv/mazegenerator,https://github.com/razimantv/mazegenerator/pull/13
Claude_Code,3132410695,14,https://github.com/razimantv/mazegenerator,https://github.com/razimantv/mazegenerator/pull/14
Claude_Code,3133003246,1778,https://github.com/containers/crun,https://github.com/containers/crun/pull/1778
Claude_Code,3133058562,196,https://github.com/bmadcode/BMAD-METHOD,https://github.com/bmadcode/BMAD-METHOD/pull/196
Claude_Code,3134938995,1781,https://github.com/containers/crun,https://github.com/containers/crun/pull/1781
Claude_Code,3136804156,7158,https://github.com/hypothesis/client,https://github.com/hypothesis/client/pull/7158
Claude_Code,3138027382,244,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/244
