agent,pr_id,pr_number,repo_url,pr_url,issue_url,issue_number,source
Claude_Code,3158615630,870,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp/pull/870,https://github.com/jlowin/fastmcp/issues/549,549,body
Claude_Code,3158776739,284,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/284,https://github.com/Shopify/roast/issues/224,224,body
Claude_Code,3158802702,285,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/285,https://github.com/Shopify/roast/issues/227,227,body
Claude_Code,3163243464,128,https://github.com/ryoppippi/ccusage,https://github.com/ryoppippi/ccusage/pull/128,https://github.com/ryoppippi/ccusage/issues/127,127,body
Claude_Code,3140025663,4350,https://github.com/wailsapp/wails,https://github.com/wailsapp/wails/pull/4350,https://github.com/wailsapp/wails/issues/4349,4349,body
Claude_Code,3140643371,163,https://github.com/anthropics/claude-code-action,https://github.com/anthropics/claude-code-action/pull/163,https://github.com/anthropics/claude-code-action/issues/162,162,body
Claude_Code,2940869558,279,https://github.com/brentyi/tyro,https://github.com/brentyi/tyro/pull/279,https://github.com/brentyi/tyro/issues/167,167,body
Claude_Code,2959025892,24145,https://github.com/apache/pulsar,https://github.com/apache/pulsar/pull/24145,https://github.com/apache/pulsar/issues/24138,24138,body
Claude_Code,3088611576,76,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/76,https://github.com/Shopify/roast/issues/63,63,body
Claude_Code,3089324503,2457,https://github.com/angular-eslint/angular-eslint,https://github.com/angular-eslint/angular-eslint/pull/2457,https://github.com/angular-eslint/angular-eslint/issues/2392,2392,body
Claude_Code,3034668239,245,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/245,https://github.com/awslabs/mcp/issues/199,199,body
Claude_Code,3043743157,277,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/277,https://github.com/awslabs/mcp/issues/275,275,body
Claude_Code,3044757080,280,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/280,https://github.com/awslabs/mcp/issues/283,283,body
Claude_Code,3047236386,292,https://github.com/awslabs/mcp,https://github.com/awslabs/mcp/pull/292,https://github.com/awslabs/mcp/issues/274,274,body
Claude_Code,3054252195,1975,https://github.com/oapi-codegen/oapi-codegen,https://github.com/oapi-codegen/oapi-codegen/pull/1975,https://github.com/oapi-codegen/oapi-codegen/issues/1914,1914,body
Claude_Code,3164250713,95,https://github.com/BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/pull/95,https://github.com/BeehiveInnovations/zen-mcp-server/issues/94,94,body
Claude_Code,3165176791,1664,https://github.com/quarylabs/sqruff,https://github.com/quarylabs/sqruff/pull/1664,https://github.com/quarylabs/sqruff/issues/689,689,body
Claude_Code,3138117853,245,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/245,https://github.com/Shopify/roast/issues/102,102,body
Claude_Code,2876006908,3375,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml/pull/3375,https://github.com/zenml-io/zenml/issues/3371,3371,body
Claude_Code,2876533575,3651,https://github.com/bufbuild/buf,https://github.com/bufbuild/buf/pull/3651,https://github.com/bufbuild/buf/issues/3650,3650,body
Claude_Code,2878832797,11066,https://github.com/dust-tt/dust,https://github.com/dust-tt/dust/pull/11066,https://github.com/dust-tt/dust/issues/123,123,body
Claude_Code,3147721605,174,https://github.com/anthropics/claude-code-action,https://github.com/anthropics/claude-code-action/pull/174,https://github.com/anthropics/claude-code-action/issues/173,173,body
Claude_Code,3150985048,80,https://github.com/ryoppippi/ccusage,https://github.com/ryoppippi/ccusage/pull/80,https://github.com/ryoppippi/ccusage/issues/23,23,body
Claude_Code,3154734636,119,https://github.com/openai/openai-agents-js,https://github.com/openai/openai-agents-js/pull/119,https://github.com/openai/openai-agents-js/issues/1234,1234,body
Claude_Code,3124372773,108,https://github.com/busser/tfautomv,https://github.com/busser/tfautomv/pull/108,https://github.com/busser/tfautomv/issues/74,74,body
Claude_Code,3140073726,10496,https://github.com/shopware/shopware,https://github.com/shopware/shopware/pull/10496,https://github.com/shopware/shopware/issues/10481,10481,timeline
Claude_Code,3054252195,1975,https://github.com/oapi-codegen/oapi-codegen,https://github.com/oapi-codegen/oapi-codegen/pull/1975,https://github.com/oapi-codegen/oapi-codegen/issues/1922,1922,timeline
Claude_Code,2922672896,946,https://github.com/OpenAdaptAI/OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/946,https://github.com/OpenAdaptAI/OpenAdapt/issues/947,947,timeline
Claude_Code,2922676503,947,https://github.com/OpenAdaptAI/OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/947,https://github.com/OpenAdaptAI/OpenAdapt/issues/946,946,timeline
Claude_Code,3147421099,783,https://github.com/eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master/pull/783,https://github.com/eyaltoledano/claude-task-master/issues/785,785,timeline
Claude_Code,3147421099,783,https://github.com/eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master/pull/783,https://github.com/eyaltoledano/claude-task-master/issues/805,805,timeline
Claude_Code,3147421099,783,https://github.com/eyaltoledano/claude-task-master,https://github.com/eyaltoledano/claude-task-master/pull/783,https://github.com/eyaltoledano/claude-task-master/issues/829,829,timeline
Claude_Code,3124189482,106,https://github.com/busser/tfautomv,https://github.com/busser/tfautomv/pull/106,https://github.com/busser/tfautomv/issues/101,101,timeline
Claude_Code,2973533797,756,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/756,https://github.com/mitsuhiko/insta/issues/32,32,timeline
Claude_Code,2973533797,756,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta/pull/756,https://github.com/mitsuhiko/insta/issues/455,455,timeline
Claude_Code,3158615630,870,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp/pull/870,https://github.com/jlowin/fastmcp/issues/837,837,timeline
Claude_Code,3158615630,870,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp/pull/870,https://github.com/jlowin/fastmcp/issues/418,418,timeline
Claude_Code,3158615630,870,https://github.com/jlowin/fastmcp,https://github.com/jlowin/fastmcp/pull/870,https://github.com/jlowin/fastmcp/issues/868,868,timeline
Claude_Code,3124293906,107,https://github.com/busser/tfautomv,https://github.com/busser/tfautomv/pull/107,https://github.com/busser/tfautomv/issues/95,95,timeline
Claude_Code,2915784381,15294,https://github.com/artsy/force,https://github.com/artsy/force/pull/15294,https://github.com/artsy/force/issues/15292,15292,timeline
Claude_Code,2915784381,15294,https://github.com/artsy/force,https://github.com/artsy/force/pull/15294,https://github.com/artsy/force/issues/15314,15314,timeline
Claude_Code,2986072834,202,https://github.com/JoshuaC215/agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,https://github.com/JoshuaC215/agent-service-toolkit/issues/197,197,timeline
Claude_Code,2986072834,202,https://github.com/JoshuaC215/agent-service-toolkit,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,https://github.com/JoshuaC215/agent-service-toolkit/issues/205,205,timeline
Claude_Code,3114327280,639,https://github.com/modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/639,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/683,683,timeline
Claude_Code,3114327280,639,https://github.com/modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/639,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/619,619,timeline
Claude_Code,3114327280,639,https://github.com/modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/639,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/947,947,timeline
Claude_Code,3158802702,285,https://github.com/Shopify/roast,https://github.com/Shopify/roast/pull/285,https://github.com/Shopify/roast/issues/284,284,timeline
Claude_Code,2936982220,17035,https://github.com/coder/coder,https://github.com/coder/coder/pull/17035,https://github.com/coder/coder/issues/17084,17084,timeline
Claude_Code,3150985048,80,https://github.com/ryoppippi/ccusage,https://github.com/ryoppippi/ccusage/pull/80,https://github.com/ryoppippi/ccusage/issues/23,23,timeline
Claude_Code,3150985048,80,https://github.com/ryoppippi/ccusage,https://github.com/ryoppippi/ccusage/pull/80,https://github.com/ryoppippi/ccusage/issues/84,84,timeline
Claude_Code,3146561196,511,https://github.com/modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector/pull/511,https://github.com/modelcontextprotocol/inspector/issues/506,506,timeline
Claude_Code,2889940415,71,https://github.com/rishikanthc/Scriberr,https://github.com/rishikanthc/Scriberr/pull/71,https://github.com/rishikanthc/Scriberr/issues/48,48,timeline
Claude_Code,2912546402,448,https://github.com/anthropics/claude-code,https://github.com/anthropics/claude-code/pull/448,https://github.com/anthropics/claude-code/issues/328,328,timeline
Claude_Code,3119417980,44,https://github.com/CoderGamester/mcp-unity,https://github.com/CoderGamester/mcp-unity/pull/44,https://github.com/CoderGamester/mcp-unity/issues/47,47,timeline
Claude_Code,3119417980,44,https://github.com/CoderGamester/mcp-unity,https://github.com/CoderGamester/mcp-unity/pull/44,https://github.com/CoderGamester/mcp-unity/issues/51,51,timeline
Claude_Code,3119417980,44,https://github.com/CoderGamester/mcp-unity,https://github.com/CoderGamester/mcp-unity/pull/44,https://github.com/CoderGamester/mcp-unity/issues/50,50,timeline
Claude_Code,3120813048,15078,https://github.com/mautic/mautic,https://github.com/mautic/mautic/pull/15078,https://github.com/mautic/mautic/issues/14955,14955,timeline
